Model,Success Rate (%),Correct Matches,Total Questions
claude-3-5-sonnet.json,78.92857142857143,221,280
codestral-22b-instruct-v0.1.json,73.21428571428571,205,280
Gemini-flash.json,71.78571428571429,201,280
Gemini.json,71.78571428571429,201,280
gemma-2-27b-it.json,70.35714285714286,197,280
gemma-2-2b-it.json,61.78571428571429,173,280
gemma-2-9b-it.json,71.07142857142857,199,280
gpt4omini_base.json,76.78571428571429,215,280
gpt4omini_finetuned.json,86.07142857142858,241,280
gpt4o_base.json,84.64285714285714,237,280
llama-3.1-405b-instruct.json,75.35714285714286,211,280
llama-3.1-70b-instruct.json,74.64285714285714,209,280
llama-3.1-8b-instruct.json,74.28571428571429,208,280
mamba-codestral-7b-v0.1.json,71.42857142857143,200,280
mistral-large-latest.json,66.78571428571428,187,280
mistral-nemo-12b-instruct.json,66.42857142857143,186,280
mixtral-8x22b-instruct-v0.1.json,70.35714285714286,197,280
mixtral-8x7b-instruct-v0.1.json,65.35714285714286,183,280
nemotron-4-340b-instruct.json,78.92857142857143,221,280
phi-3-medium-128k-instruct.json,70.35714285714286,197,280
phi-3-mini-128k-instruct.json,69.64285714285714,195,280
